FIGHT_ID,EVENT_ID,FIGHT_NAME,FIGHT_WEIGHTCLASS,FIGHT_METHOD,ROUND,TIME,FIGHT_TIME_FORMAT,FIGHT_REFEREE,FIGHT_DETAILS,MINUTE,SECOND,EVENT_NAME,EVENT_DATE,EVENT_LOCATION,FIGHT_WINNER,LOCAL,VISITOR,GENDER,YearMonth
11129,1266,Alex Garcia v Court McGee,welterweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Oezdemir vs. Smith,2018-10-27,"Moncton, New Brunswick, Canada",Court McGee,Alex Garcia,Court McGee,male,2018-10
11150,1268,Alex Oliveira v Carlo Pedersoli Jr.,welterweight,kotko,1,39,3 Rnd (5-5-5),Jerin Valel,Punch to Head In Clinch,0,39,UFC Fight Night: Marreta vs. Anders,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Alex Oliveira,Alex Oliveira,Carlo Pedersoli Jr.,male,2018-09
11154,1268,Charles Oliveira v Christos Giagos,lightweight,submission,2,202,3 Rnd (5-5-5),Jerin Valel,Rear Naked Choke,3,22,UFC Fight Night: Marreta vs. Anders,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Charles Oliveira,Charles Oliveira,Christos Giagos,male,2018-09
11158,1268,Sergio Moraes v Ben Saunders,welterweight,submission,2,282,3 Rnd (5-5-5),Jerin Valel,Arm Triangle From Mount,4,42,UFC Fight Night: Marreta vs. Anders,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Sergio Moraes,Sergio Moraes,Ben Saunders,male,2018-09
11160,1268,Thales Leites v Hector Lombard,middleweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Marreta vs. Anders,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Thales Leites,Thales Leites,Hector Lombard,male,2018-09
11498,1297,Ricardo Lamas v Josh Emmett,featherweight,kotko,1,273,3 Rnd (5-5-5),Jerin Valel,Punch to Head At Distance,4,33,UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,"Winnipeg, Manitoba, Canada",Josh Emmett,Ricardo Lamas,Josh Emmett,male,2017-12
11502,1297,Julian Marquez v Darren Stewart,middleweight,submission,2,162,3 Rnd (5-5-5),Jerin Valel,Guillotine Choke From Front Headlock,2,42,UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,"Winnipeg, Manitoba, Canada",Julian Marquez,Julian Marquez,Darren Stewart,male,2017-12
11504,1297,Nordine Taleb v Danny Roberts,welterweight,kotko,1,59,3 Rnd (5-5-5),Jerin Valel,Kick to Head At Distance,0,59,UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,"Winnipeg, Manitoba, Canada",Nordine Taleb,Nordine Taleb,Danny Roberts,male,2017-12
11595,1305,Demian Maia v Colby Covington,welterweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Brunson vs. Machida,2017-10-28,"Sao Paulo, Sao Paulo, Brazil",Colby Covington,Demian Maia,Colby Covington,male,2017-10
11598,1305,Thiago Santos v Jack Hermansson,middleweight,kotko,1,299,3 Rnd (5-5-5),Jerin Valel,Punch to Head In Clinch,4,59,UFC Fight Night: Brunson vs. Machida,2017-10-28,"Sao Paulo, Sao Paulo, Brazil",Thiago Santos,Thiago Santos,Jack Hermansson,male,2017-10
11603,1305,Elizeu Zaleski dos Santos v Max Griffin,welterweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Brunson vs. Machida,2017-10-28,"Sao Paulo, Sao Paulo, Brazil",Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,Max Griffin,male,2017-10
11650,1310,Henry Cejudo v Wilson Reis,flyweight,kotko,2,25,3 Rnd (5-5-5),Jerin Valel,Punch to Head At Distance,0,25,UFC 215: Nunes vs Shevchenko 2,2017-09-09,"Edmonton, Alberta, Canada",Henry Cejudo,Henry Cejudo,Wilson Reis,male,2017-09
11652,1310,Jeremy Stephens v Gilbert Melendez,featherweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC 215: Nunes vs Shevchenko 2,2017-09-09,"Edmonton, Alberta, Canada",Jeremy Stephens,Jeremy Stephens,Gilbert Melendez,male,2017-09
11656,1310,Mitch Clarke v Alex White,lightweight,kotko,2,276,3 Rnd (5-5-5),Jerin Valel,Punch to Head In Clinch,4,36,UFC 215: Nunes vs Shevchenko 2,2017-09-09,"Edmonton, Alberta, Canada",Alex White,Mitch Clarke,Alex White,male,2017-09
11672,1312,Randa Markos v Alexa Grasso,strawweight,decisionsplit,3,300,3 Rnd (5-5-5),Jerin Valel,Decision - Split,5,0,UFC Fight Night: Pettis vs. Moreno,2017-08-05,"Mexico City, Distrito Federal, Mexico",Alexa Grasso,Randa Markos,Alexa Grasso,female,2017-08
11674,1312,Martin Bravo v Humberto Bandenay,featherweight,kotko,1,26,3 Rnd (5-5-5),Jerin Valel,Kick to Head At Distance,0,26,UFC Fight Night: Pettis vs. Moreno,2017-08-05,"Mexico City, Distrito Federal, Mexico",Humberto Bandenay,Martin Bravo,Humberto Bandenay,male,2017-08
11678,1312,Dustin Ortiz v Hector Sandoval,flyweight,kotko,1,15,3 Rnd (5-5-5),Jerin Valel,Punch to Head In Clinch,0,15,UFC Fight Night: Pettis vs. Moreno,2017-08-05,"Mexico City, Distrito Federal, Mexico",Dustin Ortiz,Dustin Ortiz,Hector Sandoval,male,2017-08
11975,1337,Mitch Gagnon v Matthew Lopez,bantamweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC 206: Holloway vs. Pettis,2016-12-10,"Toronto, Ontario, Canada",Matthew Lopez,Mitch Gagnon,Matthew Lopez,male,2016-12
11978,1337,Zach Makovsky v Dustin Ortiz,flyweight,decisionsplit,3,300,3 Rnd (5-5-5),Jerin Valel,Decision - Split,5,0,UFC 206: Holloway vs. Pettis,2016-12-10,"Toronto, Ontario, Canada",Dustin Ortiz,Zach Makovsky,Dustin Ortiz,male,2016-12
12054,1344,Ricardo Lamas v Charles Oliveira,featherweight,submission,2,133,3 Rnd (5-5-5),Jerin Valel,Guillotine Choke On Ground,2,13,UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-05,"Mexico City, Distrito Federal, Mexico",Ricardo Lamas,Ricardo Lamas,Charles Oliveira,male,2016-11
12060,1344,Erick Montano v Max Griffin,welterweight,kotko,1,54,3 Rnd (5-5-5),Jerin Valel,Punch to Head At Distance,0,54,UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-05,"Mexico City, Distrito Federal, Mexico",Max Griffin,Erick Montano,Max Griffin,male,2016-11
12242,1360,Valerie Letourneau v Joanne Wood,flyweight,kotko,3,164,3 Rnd (5-5-5),Jerin Valel,Kick to Body At Distance,2,44,UFC Fight Night: MacDonald vs Thompson,2016-06-18,"Ottawa, Ontario, Canada",Joanne Wood,Valerie Letourneau,Joanne Wood,female,2016-06
12246,1360,Chris Beal v Joe Soto,bantamweight,submission,3,219,3 Rnd (5-5-5),Jerin Valel,Rear Naked Choke,3,39,UFC Fight Night: MacDonald vs Thompson,2016-06-18,"Ottawa, Ontario, Canada",Joe Soto,Chris Beal,Joe Soto,male,2016-06
12250,1360,Ali Bagautinov v Geane Herrera,flyweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: MacDonald vs Thompson,2016-06-18,"Ottawa, Ontario, Canada",Ali Bagautinov,Ali Bagautinov,Geane Herrera,male,2016-06
12579,1388,Patrick Cote v Joshua Burkman,welterweight,kotko,3,86,3 Rnd (5-5-5),Jerin Valel,Punches to Head At Distance,1,26,UFC Fight Night: Holloway vs Oliveira,2015-08-23,"Saskatoon, Saskatchewan, Canada",Patrick Cote,Patrick Cote,Joshua Burkman,male,2015-08
12581,1388,Olivier Aubin-Mercier v Tony Sims,lightweight,decisionunanimous,3,300,3 Rnd (5-5-5),Jerin Valel,Decision,5,0,UFC Fight Night: Holloway vs Oliveira,2015-08-23,"Saskatoon, Saskatchewan, Canada",Olivier Aubin-Mercier,Olivier Aubin-Mercier,Tony Sims,male,2015-08
12588,1388,Misha Cirkunov v Daniel Jolly,heavyweight,kotko,1,285,3 Rnd (5-5-5),Jerin Valel,Punches to Head From Back Control,4,45,UFC Fight Night: Holloway vs Oliveira,2015-08-23,"Saskatoon, Saskatchewan, Canada",Misha Cirkunov,Misha Cirkunov,Daniel Jolly,male,2015-08
